Type	MissingReadAndGap	MissingNon-ReadAndGap	Non-MissingReadAndGap	Non-MissingNon-ReadAndGap
Genome	1199950	212212660	49954898	1595168063
NC_041728	141640	23766328	4975481	157622567
NC_041729	145849	20923086	4184528	146466200
NC_041730	110523	16936410	4406735	120533414
NC_041731	94791	14375526	4191665	117432407
NC_041732	77939	14517596	3878624	91818871
NC_041733	34187	4517504	1622168	45319633
NC_041734	63163	8005600	1814281	73454999
NC_041735	50534	5479153	996728	64423399
NC_041736	22600	3904671	1518377	56415575
NC_041737	31035	5388511	1771152	52253998
NC_041738	44658	8001579	1951636	53508158
NC_041739	30301	5460793	1694960	53269995
NC_041740	13262	3375194	1479002	37427184
NC_041741	24115	3379132	1438584	48047575
NC_041742	13180	1833435	673925	23854479
NC_041743	22486	3984389	1350331	41040069
NC_041744	15480	5055740	1469496	38995954
NC_041745	31125	5131094	862643	38659639
NC_041746	9906	2191339	1107274	31812022
NC_041747	18489	3099311	205747	27211987
NC_041748	20434	4236015	872405	19386005
NC_041749	89121	15239899	2438969	107272925
NC_041750	18791	3709044	791801	25142470
NC_041751	20364	2030153	327340	31485479
NC_041752	5131	2151844	289431	6193050
NC_041753	37543	9832431	2654201	57615145
NW_021638003	31	475506	479	757984
NW_021638004	128	1998538	1292	2921167
NW_021638005	15	1008354	1039	2008163
NW_021638006	9	734453	505	283033
NW_021638007	0	528765	0	49628
NW_021638008	10	5327	756	15160
NW_021638009	0	2875	0	19202
NW_021638010	0	39156	0	31985
NW_021638011	0	950	2	20608
NW_021638012	0	9197	1473	44043
NW_021638013	74	11103	0	18557
NW_021638014	0	704	173	30880
NW_021638015	0	42176	0	5293
NW_021638016	0	34835	0	19568
NW_021638017	0	6430	4496	24711
NW_021638018	0	17255	0	3062
NW_021638019	0	6444	0	14381
NW_021638020	0	14732	0	5647
NW_021638021	0	36107	0	9734
NW_021638022	0	23569	0	21887
NW_021638023	0	1696	214	24816
NW_021638024	0	579	74	32513
NW_021638025	0	10098	0	13841
NW_021638026	64	2834	3026	43299
NW_021638027	0	40033	0	2955
NW_021638028	0	310	2841	24142
NW_021638029	0	13486	64	34219
NW_021638030	0	5161	0	23350
NW_021638031	0	828	2778	18550
NW_021638032	8	3833	3391	25963
NW_021638033	0	1119	5797	16725
NW_021638034	0	8761	0	19227
NW_021638035	0	136461	123	36059
NW_021638036	0	14246	0	10678
NW_021638037	0	23103	0	2659
NW_021638038	4	6196	2215	25328
NW_021638039	0	57760	0	892
NW_021638040	103	481311	22226	777118
NW_021638041	0	14514	1870	85148
NW_021638042	179	2463	3887	46932
NW_021638043	0	1908276	0	302964
NW_021638044	0	7277	0	31432
NW_021638045	0	4866	2282	22252
NW_021638046	0	15860	20	33899
NW_021638047	0	2578	1485	29391
NW_021638048	0	322	799	22436
NW_021638049	0	4296	0	21051
NW_021638050	0	26253	0	6897
NW_021638051	0	2320	1488	20095
NW_021638052	0	16559	30	21236
NW_021638053	0	11790	0	11715
NW_021638054	0	1488	1847	17963
NW_021638055	43	9725	175	14168
NW_021638056	0	25885	0	7082
NW_021638057	0	72655	0	2692
NW_021638058	0	21980	0	16613
NW_021638059	0	30995	568	60532
NW_021638060	0	1950	2328	22737
NW_021638061	0	16257	0	17333
NW_021638062	595	362794	46118	1328214
NW_021638063	18	21000	46051	816416
NW_021638064	174	5768	0	44032
NW_021638065	0	60424	0	6267
NW_021638066	0	562	12133	82800
NW_021638067	445	228404	25698	371271
NW_021638068	0	18198	333	29197
NW_021638069	0	13308	1446	40110
NW_021638070	0	1832	2598	23806
NW_021638071	0	34352	0	5916
NW_021638072	44	152687	5	61962
NW_021638073	0	9949	1308	26063
NW_021638074	80	11765	1059	26925
NW_021638075	122	3815	3188	38137
NW_021638076	0	23267	0	643
NW_021638077	0	8510	0	32227
NW_021638078	1	3370	5595	44358
NW_021638079	4064	641217	168744	3394337
NW_021638080	0	25617	0	3111
NW_021638081	0	7301	10	24770
NW_021638082	0	4977	6283	26520
NW_021638083	0	36337	0	11173
NW_021638084	0	3835	10	31614
NW_021638085	0	1739	1604	52703
NW_021638086	79	80895	424	28578
NW_021638087	2	17910	1635	37590
NW_021638088	0	530	5365	53917
NW_021638089	37	16567	2707	17852
NW_021638090	0	19660	730	27529
NW_021638091	0	0	796	24807
NW_021638092	1	6005	4249	27337
NW_021638093	0	19580	0	3930
NW_021638094	0	7010	5367	32272
NW_021638095	0	8958	0	14697
NW_021638096	0	10587	0	26215
NW_021638097	0	20566	0	1650
NW_021638098	0	7592	0	14754
NW_021638099	0	1336	88	22252
NW_021638100	2	2506	4725	40176
NW_021638101	42	5837	20	33468
NW_021638102	0	2847	1702	45131
NW_021638103	0	7345	62	19915
NW_021638104	32	7416	4085	28885
NW_021638105	0	25749	0	1655
NW_021638106	0	10684	0	12635
NW_021638107	0	69546	0	4311
NW_021638108	0	18041	0	2202
NW_021638109	0	9286	0	24663
NW_021638110	0	50069	1243	40393
NW_021638111	22	6208	78	17602
NW_021638112	5	7217	2409	23158
NW_021638113	0	6981	1648	26963
NW_021638114	0	20409	538	50757
NW_021638115	0	637	1753	23016
NW_021638116	129	95301	33653	612396
NW_021638117	0	12593	0	30779
NW_021638118	0	14810	0	5603
NW_021638119	80	105247	12541	210555
NW_021638120	0	2421	3094	41002
NW_021638121	0	2695	13820	43362
NW_021638122	71	3119	1477	33344
NW_021638123	0	28500	0	918
NW_021638124	0	0	3983	26810
NW_021638125	0	17803	0	16046
NW_021638126	0	43524	0	40961
NW_021638127	2	11813	4002	40446
NW_021638128	0	15185	1156	32741
NW_021638129	0	26310	0	20698
NW_021638130	5	6818	3608	48413
NW_021638131	0	56156	0	17453
NW_021638132	0	26380	0	48170
NW_021638133	0	17559	0	6562
NW_021638134	0	9571	0	31051
NW_021638135	0	0	5039	17007
NW_021638136	0	52767	0	1572
NW_021638137	0	30	89	26703
NW_021638138	0	13488	0	22063
NW_021638139	314	168649	210	68546
NW_021638140	0	18323	0	12232
NW_021638141	0	1271	0	21462
NW_021638142	0	15273	0	40201
NW_021638143	0	19269	0	5037
NW_021638144	0	43616	0	12231
NW_021638145	0	21137	0	3004
NW_021638146	148	20019	3355	151150
NW_021638147	0	20623	0	18636
NW_021638148	0	3639	76	20567
NW_021638149	0	12777	0	19701
NW_021638150	0	1824	1757	27215
NW_021638151	0	15938	102	19007
NW_021638152	0	5360	0	20066
NW_021638153	0	11	5696	19224
NW_021638154	0	3671	0	22595
NW_021638155	0	21378	619	25329
NW_021638156	0	5005	1563	31006
NW_021638157	0	349	755	19437
NW_021638158	0	35478	1327	14080
NW_021638159	0	12029	10	14796
NW_021638160	117	31264	0	34761
NW_021638161	48	46630	4890	408226
NW_021638162	0	17056	0	14921
NW_021638163	0	4513	1981	34981
NW_021638164	21	5487	1118	35400
NW_021638165	0	15541	523	24446
NW_021638166	0	29042	5	33569
NW_021638167	0	5524	0	19215
NW_021638168	0	22232	1102	26244
NW_021638169	0	48904	20	32231
NW_021638170	0	33499	0	3268
NW_021638171	0	20350	46	32297
NW_021638172	803	78667	5094	336600
NW_021638173	0	11048	0	18506
NW_021638174	0	11394	0	15362
NW_021638175	0	9563	0	11267
NW_021638176	0	39534	0	17427
NW_021638177	0	3447	4171	25088
NW_021638178	0	14484	0	0
NW_021638179	0	20719	0	904
NW_021638180	139	4202	576	44602
NW_021638181	0	11074	226	17763
NW_021638182	0	927	66	45564
NW_021638183	0	25352	0	3282
NW_021638184	0	23913	0	11060
NW_021638185	0	1302	1109	26663
NW_021638186	0	733	0	26464
NW_021638187	9	7995	10512	34920
NW_021638188	0	13201	20	23628
NW_021638189	69	11776	0	16826
NW_021638190	10	746	1783	19729
NW_021638191	0	18712	0	2867
NW_021638192	0	0	5221	30317
NW_021638193	5	7239	6023	20588
NW_021638194	0	16689	0	30851
NW_021638195	5	15478	18	18318
NW_021638196	0	33957	0	12125
NW_021638197	0	2518	1039	19199
NW_021638198	0	2250	1918	43067
NW_021638199	0	6590	0	5543
NW_021638200	0	11258	462	13727
NW_021638201	0	9866	2930	15224
NW_021638202	0	8510	1052	22210
NW_021638203	287	23597	5858	190984
NW_021638204	0	3335	65	47040
NW_021638205	0	14355	52	37455
NW_021638206	0	16905	0	10256
NW_021638207	0	6156	6723	72430
NW_021638208	0	19278	0	2958
NW_021638209	63	9605	0	36170
NW_021638210	0	11571	2843	28972
NW_021638211	80	21400	1101	21441
NW_021638212	0	7538	4722	21157
NW_021638213	0	1268	3112	20428
NW_021638214	61	14362	1077	12553
NW_021638215	2	1340	2766	27347
NW_021638216	0	28433	0	4933
NW_021638217	73	13974	681	19017
NW_021638218	3	12005	5549	39294
NW_021638219	68	2173	0	30022
NW_021638220	114	469	76	30259
NW_021638221	5	47191	8771	172690
NW_021638222	0	12312	56	24677
NW_021638223	0	9560	0	31702
NW_021638224	31	1265	3962	50344
NW_021638225	429	140938	5162	679576
NW_021638226	0	2211	2602	22892
NW_021638227	0	42608	0	1127
NW_021638228	0	6734	0	28479
NW_021638229	0	39307	5212	110134
NW_021638230	0	102991	0	6085
NW_021638231	0	22822	0	16975
NW_021638232	0	1274	3665	27915
NW_021638233	60	38400	181	15546
NW_021638234	0	11394	0	9754
NW_021638235	0	27923	0	875
NW_021638236	0	13207	7	16569
NW_021638237	0	6248	0	17683
NW_021638238	5	14935	3083	8293
NW_021638239	0	6747	0	21760
NW_021638240	0	1033	0	20734
NW_021638241	0	3296	0	19098
NW_021638242	95	122386	15465	281826
NW_021638243	100	121185	12743	184794
NW_021638244	0	9573	0	15490
NW_021638245	0	32608	0	3037
NW_021638246	80	14211	1077	15517
NW_021638247	3	17261	150	29286
NW_021638248	0	6573	1708	22779
NW_021638249	0	100	1438	9686
NW_021638250	0	119	509	29195
NW_021638251	0	860	0	24800
NW_021638252	0	3649	6289	15735
NW_021638253	0	45768	4451	127451
NW_021638254	5	103668	3096	64297
NW_021638255	0	5	2616	21147
NW_021638256	0	18573	0	1775
NW_021638257	20	21938	541	125603
NW_021638258	0	1706	3335	18475
NW_021638259	0	11330	0	19682
NW_021638260	0	7470	0	18511
NW_021638261	0	24647	0	3374
NW_021638262	0	11699	0	8830
NW_021638263	97	13178	0	37620
NW_021638264	0	34563	0	5723
NW_021638265	0	8180	3567	30529
NW_021638266	0	619	2615	20096
NW_021638267	0	38740	0	639
NW_021638268	0	363	5012	33702
NW_021638269	282	241262	41513	783393
NW_021638270	11	20253	42207	389324
NW_021638271	858	894619	53331	2040855
NW_021638272	9	469378	55136	872969
NW_021638273	0	17289	0	22591
NW_021638274	49	9115	2756	28996
NW_021638275	0	1170	4319	30956
NW_021638276	188	139334	20577	582993
NW_021638277	0	10579	40	21461
NW_021638278	1817	572450	54178	1482660
NW_021638279	0	885	0	19920
NW_021638280	0	16900	32	11619
